section,accuracy,balanced_accuracy,precision,recall,specificity,auc,aupr,f1,mcc,tp,tn,fp,fn,total,balanced_downsample_accuracy_mean,balanced_downsample_accuracy_std,balanced_downsample_balanced_accuracy_mean,balanced_downsample_balanced_accuracy_std,balanced_downsample_precision_mean,balanced_downsample_precision_std,balanced_downsample_recall_mean,balanced_downsample_recall_std,balanced_downsample_specificity_mean,balanced_downsample_specificity_std,balanced_downsample_auc_mean,balanced_downsample_auc_std,balanced_downsample_aupr_mean,balanced_downsample_aupr_std,balanced_downsample_f1_mean,balanced_downsample_f1_std,balanced_downsample_mcc_mean,balanced_downsample_mcc_std,balanced_downsample_tp_mean,balanced_downsample_tp_std,balanced_downsample_tn_mean,balanced_downsample_tn_std,balanced_downsample_fp_mean,balanced_downsample_fp_std,balanced_downsample_fn_mean,balanced_downsample_fn_std,balanced_downsample_total_mean,balanced_downsample_total_std,repeat,fold
3UTRnonATG,0.9886363636363636,0.5,0.0,0.0,1.0,0.29885057471264365,0.016129032258064516,0.0,0.0,0,87,0,1,88,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21,0.40936018074033237,0.605,0.20468009037016618,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,1
5UTRATG,0.8683651804670913,0.8788998357963875,0.7824427480916031,0.9761904761904762,0.7816091954022989,0.9696405765371282,0.9623719582819796,0.8686440677966102,0.7581594019714631,205,204,57,5,471,0.8770000000000002,0.00604634823960027,0.8770000000000002,0.006046348239600267,0.8146731364624111,0.008211274399452868,0.9761904761904764,2.2316322462394835e-16,0.7778095238095238,0.01209269647920057,0.9690396825396825,0.002545751957320678,0.9683033614628838,0.003183934277646634,0.8881260516452091,0.0048818789666394795,0.7693241482638752,0.010413649895756041,205.0,0.0,163.34,2.539466260632121,46.66,2.539466260632121,5.0,0.0,420.0,0.0,0,1
5UTRnonATG,0.9907075317900228,0.8613064024980981,0.6276595744680851,0.7283950617283951,0.9942177432678011,0.9748191387598844,0.731746809022721,0.6742857142857143,0.6715078646549274,59,6018,35,22,6134,0.8606172839506177,0.004657500180264281,0.8606172839506177,0.00465750018026433,0.9904202362065925,0.012368141774676222,0.728395061728395,1.1158161231197418e-16,0.9928395061728397,0.00931500036052863,0.9742996494436824,0.004846647838570611,0.979572433736401,0.006237143269193684,0.8394035064925086,0.004478100836188587,0.7479243179400382,0.01156506222495147,59.0,0.0,80.42,0.7545150292028179,0.58,0.7545150292028179,22.0,0.0,162.0,0.0,0,1
Annotated,0.998546511627907,0.5,0.998546511627907,1.0,0.0,0.9956331877729258,0.999993643641346,0.9992727272727273,0.0,687,0,1,0,688,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666669,2.2316322462394835e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0,1
CDSATG,0.9190751445086706,0.9228744939271255,0.872093023255814,0.9615384615384616,0.8842105263157894,0.9771929824561404,0.9740490053803098,0.9146341463414634,0.8416697888908024,75,84,11,3,173,0.9226282051282052,0.006772649396147648,0.9226282051282052,0.006772649396147618,0.8922535904041722,0.011243754743472454,0.9615384615384618,2.2316322462394835e-16,0.8837179487179491,0.013545298792295261,0.9769345825115056,0.0026424836072990545,0.977915518595481,0.0028562323927950168,0.9255649986036625,0.006041777743167057,0.8478923757894747,0.012702474700850194,75.0,0.0,68.93,1.0565333057990298,9.07,1.0565333057990298,3.0,0.0,156.0,0.0,0,1
CDSnonATG,0.97539975399754,0.6117400298816228,0.625,0.22727272727272727,0.9962073324905183,0.8133547868061143,0.3173007324970588,0.3333333333333333,0.36736301211989003,5,788,3,17,813,0.6111363636363637,0.007843079709133177,0.6111363636363637,0.007843079709133184,0.9821428571428572,0.055024778436736616,0.22727272727272718,8.368620923398064e-17,0.995,0.01568615941826636,0.8118388429752065,0.040768954341400244,0.833989181562399,0.04093677203337134,0.3689244663382594,0.004514929143006614,0.3479573850429192,0.031359006243975904,5.0,0.0,21.89,0.3450955072018601,0.11,0.34509550720186016,17.0,0.0,44.0,0.0,0,1
all,0.9812671518911824,0.9702934740034659,0.9043859649122807,0.9555143651529193,0.9850725828540126,0.9943665693683018,0.9806248545270798,0.9292474087426769,0.9189224995549771,1031,7193,109,48,8381,0.9702826691380909,0.0018081408273746778,0.9702826691380909,0.001808140827374683,0.9846095046671762,0.003663212289492903,0.9555143651529192,1.1158161231197418e-16,0.9850509731232624,0.0036162816547493574,0.9943681849376544,0.00043917145615493666,0.9953512959155608,0.00044566384919660036,0.9698404472972311,0.0017784947021225832,0.9409823714199215,0.003715697367828162,1031.0,0.0,1062.87,3.901967905474561,16.13,3.901967905474562,48.0,0.0,2158.0,0.0,0,1
non-annotated,0.9797218250357468,0.9313792631146418,0.7610619469026548,0.8775510204081632,0.9852075058211204,0.9848042901587426,0.8990871724881434,0.8151658767772512,0.8067797268073617,344,7193,108,48,7693,0.9310969387755104,0.00292876786842149,0.9310969387755104,0.0029287678684215015,0.9828426851006081,0.006421456523242423,0.8775510204081632,0.0,0.9846428571428574,0.0058575357368429734,0.9848084782382339,0.001740600393858268,0.9868936935202179,0.001993923612699247,0.9272075005539229,0.002863645545980298,0.8671999552278874,0.006429898525685295,344.0,0.0,385.98,2.2961540088424455,6.02,2.2961540088424455,48.0,0.0,784.0,0.0,0,1
5UTRATG,0.9081419624217119,0.9140517817567806,0.8446215139442231,0.9769585253456221,0.851145038167939,0.9858057480564252,0.9829674895681902,0.905982905982906,0.8253931909404781,212,223,39,5,479,0.9142626728110601,0.004680977351654232,0.9142626728110602,0.004680977351654227,0.8681649272326546,0.00723812358559474,0.9769585253456222,1.1158161231197418e-16,0.8515668202764979,0.009361954703308457,0.9858504109239951,0.0013461567910639644,0.9857162054791685,0.0014486307320518994,0.9193385955947675,0.004054126208673366,0.8351441706244058,0.00844810806501412,212.0,0.0,184.79,2.0315441706179356,32.21,2.031544170617936,5.0,0.0,434.0,0.0,0,2
5UTRnonATG,0.9882684882684882,0.8032141486659121,0.57,0.6129032258064516,0.9935250715253727,0.9802643402907646,0.6793509211065867,0.5906735751295337,0.585126731202551,57,6598,43,36,6734,0.8037096774193552,0.003542853392178382,0.8037096774193552,0.003542853392178382,0.9912594973699591,0.011242042062270693,0.6129032258064516,0.0,0.994516129032258,0.0070857067843567625,0.9810694878020583,0.005034192234944349,0.9831775667565591,0.006465136629999878,0.7574390728476823,0.003303087852838813,0.6572034816390133,0.009698321421614798,57.0,0.0,92.49,0.6589707309451797,0.51,0.6589707309451796,36.0,0.0,186.0,0.0,0,2
