section,accuracy,balanced_accuracy,precision,recall,specificity,auc,aupr,f1,mcc,tp,tn,fp,fn,total,balanced_downsample_accuracy_mean,balanced_downsample_accuracy_std,balanced_downsample_balanced_accuracy_mean,balanced_downsample_balanced_accuracy_std,balanced_downsample_precision_mean,balanced_downsample_precision_std,balanced_downsample_recall_mean,balanced_downsample_recall_std,balanced_downsample_specificity_mean,balanced_downsample_specificity_std,balanced_downsample_auc_mean,balanced_downsample_auc_std,balanced_downsample_aupr_mean,balanced_downsample_aupr_std,balanced_downsample_f1_mean,balanced_downsample_f1_std,balanced_downsample_mcc_mean,balanced_downsample_mcc_std,balanced_downsample_tp_mean,balanced_downsample_tp_std,balanced_downsample_tn_mean,balanced_downsample_tn_std,balanced_downsample_fp_mean,balanced_downsample_fp_std,balanced_downsample_fn_mean,balanced_downsample_fn_std,balanced_downsample_total_mean,balanced_downsample_total_std,repeat,fold
5UTRnonATG,0.9924454996762357,0.8623298229491674,0.6935483870967742,0.7288135593220338,0.9958460865763008,0.979208199624999,0.7863875082031482,0.7107438016528925,0.7071421229463178,43,4555,19,16,4633,0.8611016949152541,0.004951017840628883,0.8611016949152541,0.004951017840628867,0.9911868686868688,0.013138252308555122,0.728813559322034,1.1158161231197418e-16,0.9933898305084745,0.00990203568125775,0.9774691180695201,0.0055980992480999595,0.981158040458044,0.0057842798609215335,0.839952664411545,0.004760472599006844,0.7489656253448037,0.012289073768582017,43.0,0.0,58.61,0.5842201051942079,0.39,0.5842201051942078,16.0,0.0,118.0,0.0,0,1
Annotated,0.9981412639405205,0.9990671641791045,1.0,0.9981343283582089,1.0,0.9990671641791045,0.9999965257511326,0.9990662931839402,0.8157345680870337,535,2,0,1,538,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,1
CDSATG,0.8979591836734694,0.8861320336730173,0.9047619047619048,0.9344262295081968,0.8378378378378378,0.9548072662826761,0.973090329507746,0.9193548387096774,0.7813170662396551,57,31,6,4,98,0.885135135135135,0.013916990555255034,0.885135135135135,0.013916990555255066,0.8517570356472794,0.003767441945098789,0.9324324324324325,0.027833981110510123,0.837837837837838,2.2316322462394835e-16,0.9537764791818845,0.010856877427090884,0.9578387856793436,0.008683523873611616,0.890128668799555,0.014740995532780687,0.7741221331086137,0.030063831407798294,34.5,1.0298573010888745,31.0,0.0,6.0,0.0,2.5,1.0298573010888745,74.0,0.0,0,1
CDSnonATG,0.9619289340101523,0.643080043688563,0.625,0.29411764705882354,0.9920424403183024,0.892182867842097,0.547905041754088,0.4,0.41225463744051144,5,374,3,12,394,0.6426470588235296,0.010555008273018727,0.6426470588235296,0.010555008273018727,0.9749999999999999,0.0598117135471061,0.29411764705882343,1.1158161231197418e-16,0.9911764705882353,0.021110016546037457,0.8933564013840829,0.03084483918945041,0.9141562027658936,0.02954900046466961,0.451581027667984,0.007092298049063965,0.39923429436702235,0.038263000364317894,5.0,0.0,16.85,0.35887028128263665,0.15,0.3588702812826367,12.0,0.0,34.0,0.0,0,1
all,0.9827786057294254,0.9671189421847898,0.9365079365079365,0.9450800915331807,0.9891577928363988,0.9958063537141604,0.9849966987611535,0.9407744874715261,0.9307123899049745,826,5109,56,48,6039,0.9672997711670479,0.0015249461382186226,0.9672997711670479,0.0015249461382186103,0.9890420140277371,0.0031559950745433155,0.9450800915331808,1.1158161231197418e-16,0.9895194508009153,0.003049892276437242,0.9958487503207327,0.00039170385538486415,0.9963563416900274,0.00040057483036287596,0.9665589983194797,0.0015072573700610885,0.9355285124139349,0.0031796032300344824,826.0,0.0,864.84,2.6656058496061537,9.16,2.6656058496061537,48.0,0.0,1748.0,0.0,0,1
non-annotated,0.9812761316124341,0.9250501692172456,0.8386167146974063,0.8609467455621301,0.989153592872361,0.9895386724153541,0.9279019446973505,0.8496350364963504,0.8397357779834067,291,5107,56,47,5501,0.9246005917159763,0.0029619773093711287,0.9246005917159763,0.0029619773093711305,0.9865857312845718,0.006655865177513505,0.8609467455621302,1.1158161231197418e-16,0.9882544378698225,0.005923954618742259,0.9895330170512239,0.0018920147722425503,0.9904487280795975,0.0021763779764479955,0.9194839390116281,0.0029001707945541986,0.8561878494782718,0.006610297571089303,291.0,0.0,334.03,2.002296661134888,3.97,2.0022966611348876,47.0,0.0,676.0,0.0,0,1
3UTRATG,0.7142857142857143,0.7142857142857143,0.0,0.0,0.7142857142857143,,,0.0,0.0,0,10,4,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
3UTRnonATG,0.9886363636363636,0.5,0.0,0.0,1.0,0.9080459770114943,0.1111111111111111,0.0,0.0,0,87,0,1,88,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.30151134457776363,0.95,0.15075567228888181,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,2
5UTRATG,0.9010416666666666,0.9133350309820898,0.8142076502732241,0.9738562091503268,0.8528138528138528,0.9712390006507653,0.9595720785778367,0.8869047619047619,0.8103270593972228,149,197,34,4,384,0.9150980392156863,0.007632059905228676,0.9150980392156863,0.0076320599052287,0.8716079206095477,0.011905423124468613,0.9738562091503268,0.0,0.8563398692810459,0.015264119810457352,0.9718490751420391,0.0033978809671685903,0.9723436096944286,0.004204803003479747,0.919857178632403,0.006630164495095786,0.8360628674349111,0.013851452844705346,149.0,0.0,131.02,2.3354103309999745,21.98,2.3354103309999754,4.0,0.0,306.0,0.0,0,2
5UTRnonATG,0.992264552310965,0.8776847773126374,0.7407407407407407,0.759493670886076,0.9958758837391988,0.9942501019221017,0.8197140737997882,0.75,0.7461322622895329,60,5071,21,19,5171,0.8785443037974686,0.0028010071684325404,0.8785443037974686,0.0028010071684325404,0.9968958223162347,0.007211626386630799,0.759493670886076,0.0,0.9975949367088607,0.005602014336865041,0.9947332158307965,0.0035583668921323752,0.9943359550687441,0.00505760709510373,0.8621394677571014,0.0027218301862139966,0.7795298138218836,0.00681877566719014,60.0,0.0,78.81,0.44255913261233903,0.19,0.44255913261233903,19.0,0.0,158.0,0.0,0,2
