section,accuracy,balanced_accuracy,precision,recall,specificity,auc,aupr,f1,mcc,tp,tn,fp,fn,total,balanced_downsample_accuracy_mean,balanced_downsample_accuracy_std,balanced_downsample_balanced_accuracy_mean,balanced_downsample_balanced_accuracy_std,balanced_downsample_precision_mean,balanced_downsample_precision_std,balanced_downsample_recall_mean,balanced_downsample_recall_std,balanced_downsample_specificity_mean,balanced_downsample_specificity_std,balanced_downsample_auc_mean,balanced_downsample_auc_std,balanced_downsample_aupr_mean,balanced_downsample_aupr_std,balanced_downsample_f1_mean,balanced_downsample_f1_std,balanced_downsample_mcc_mean,balanced_downsample_mcc_std,balanced_downsample_tp_mean,balanced_downsample_tp_std,balanced_downsample_tn_mean,balanced_downsample_tn_std,balanced_downsample_fp_mean,balanced_downsample_fp_std,balanced_downsample_fn_mean,balanced_downsample_fn_std,balanced_downsample_total_mean,balanced_downsample_total_std,repeat,fold
CDSATG,0.8972602739726028,0.8728174603174603,0.8712871287128713,0.9777777777777777,0.7678571428571429,0.9696428571428573,0.9778258047816305,0.9214659685863874,0.7851896454118923,88,43,13,2,146,0.8733928571428572,0.005867907083405135,0.8733928571428572,0.005867907083405135,0.808298342049344,0.0018543630556149995,0.9789285714285714,0.011735814166810299,0.7678571428571428,1.1158161231197418e-16,0.9695025510204083,0.003980075781007565,0.9652964057155954,0.004406745563427339,0.8854478678206137,0.00590973591263563,0.7640913856252303,0.01400969650875243,54.82,0.6572055933413775,43.0,0.0,13.0,0.0,1.18,0.6572055933413774,112.0,0.0,0,2
CDSnonATG,0.9747899159663865,0.6352969348659003,0.5,0.2777777777777778,0.992816091954023,0.7234195402298851,0.256466071618826,0.35714285714285715,0.36097115267965063,5,691,5,13,714,0.6358333333333334,0.008735167714867195,0.6358333333333334,0.008735167714867195,0.9816666666666666,0.05241100628920333,0.27777777777777773,5.579080615598709e-17,0.9938888888888888,0.017470335429734463,0.7322530864197532,0.051904703422380426,0.7803799572730793,0.038739172036015915,0.4327898550724637,0.005696848509696008,0.39022826503160885,0.03253694163069352,5.0,0.0,17.89,0.3144660377352201,0.11,0.31446603773522014,13.0,0.0,36.0,0.0,0,2
all,0.9714016711780629,0.9703077842351917,0.834913112164297,0.9688359303391384,0.9717796381312449,0.9954629647277345,0.9804984461331466,0.896902842596521,0.8836908499537427,1057,7197,209,34,8497,0.9701970669110906,0.0022681693041198456,0.9701970669110906,0.00226816930411985,0.9715004549225534,0.004416717036792165,0.9688359303391383,1.1158161231197418e-16,0.971558203483043,0.0045363386082397025,0.9954869060331132,0.00046058456649293204,0.9958497421882341,0.0005084605815501394,0.9701613989892904,0.0022028680958708215,0.9404072476227586,0.004546852163304212,1057.0,0.0,1059.97,4.94914542158951,31.03,4.94914542158951,34.0,0.0,2182.0,0.0,0,2
non-annotated,0.969209147821643,0.9468559094501922,0.6515912897822446,0.9218009478672986,0.9719108710330857,0.9887094348317232,0.9078554557257589,0.7634936211972522,0.7604312291029632,389,7197,208,33,7827,0.9467417061611377,0.0035460148878900333,0.9467417061611375,0.0035460148878900303,0.9702493183457218,0.007244834003884337,0.9218009478672985,1.1158161231197418e-16,0.9716824644549762,0.007092029775780062,0.9889239347723546,0.0013348859207960692,0.9895190361717288,0.001594098791547364,0.9453918073272919,0.0034385196971644678,0.8946220541713575,0.007419426964949271,389.0,0.0,410.05,2.99283656537919,11.95,2.99283656537919,33.0,0.0,844.0,0.0,0,2
5UTRATG,0.9037199124726477,0.9110451398290333,0.8319672131147541,0.9854368932038835,0.8366533864541833,0.9821684137237457,0.9791707075785488,0.9022222222222223,0.8199837940853699,203,210,41,3,457,0.9107281553398059,0.005018078962265366,0.9107281553398058,0.0050180789622653625,0.857400621318748,0.007484930302917124,0.9854368932038835,0.0,0.836019417475728,0.010036157924530732,0.9820225751720238,0.0015082386034624307,0.9823687609662828,0.0017779507501575445,0.9169537056829756,0.0042808537599202225,0.83081235571727,0.008875513391463433,203.0,0.0,172.22,2.067448532453332,33.78,2.067448532453332,3.0,0.0,412.0,0.0,0,3
5UTRnonATG,0.986762360446571,0.8754979098343351,0.5343511450381679,0.7608695652173914,0.9901262544512788,0.978267907160049,0.7270226083522258,0.6278026905829597,0.6313510697982972,70,6117,61,22,6270,0.8756521739130436,0.005081865933307753,0.8756521739130436,0.005081865933307734,0.9877523915966901,0.012845697261268166,0.7608695652173914,0.0,0.9904347826086957,0.010163731866615476,0.9781817107750471,0.00440213640026656,0.9816690884819227,0.005435995908936731,0.8595563534951316,0.0049032472460912736,0.7719927961968327,0.012263947747815673,70.0,0.0,91.12,0.9350633317286237,0.88,0.9350633317286238,22.0,0.0,184.0,0.0,0,3
Annotated,0.9955357142857143,0.9977645305514158,1.0,0.9955290611028316,1.0,1.0,1.0,0.9977595220313666,0.49888101314412425,668,1,0,3,672,0.995,0.049999999999999996,0.995,0.049999999999999996,0.99,0.09999999999999999,0.99,0.09999999999999999,1.0,0.0,1.0,0.0,1.0,0.0,0.99,0.09999999999999999,0.99,0.09999999999999999,0.99,0.09999999999999999,1.0,0.0,0.0,0.0,0.01,0.09999999999999999,2.0,0.0,0,3
CDSATG,0.8918918918918919,0.8953256794751641,0.8333333333333334,0.9659090909090909,0.8247422680412371,0.9563027179006561,0.9441285668126645,0.8947368421052632,0.7939133280758969,85,80,17,3,185,0.8955681818181819,0.006296005236926102,0.8955681818181819,0.006296005236926114,0.84688479868395,0.00938621327604079,0.9659090909090913,3.3474483693592255e-16,0.8252272727272728,0.012592010473852224,0.9561118285123966,0.003291402498827777,0.9482211607349016,0.006186744396941895,0.902462233174222,0.005319524335708535,0.7991287184656569,0.011291717080614576,85.0,0.0,72.62,1.1080969216989947,15.38,1.1080969216989947,3.0,0.0,176.0,0.0,0,3
CDSnonATG,0.9662398137369034,0.6451749095295537,0.5294117647058824,0.3,0.9903498190591074,0.7956976276638521,0.36323025884559057,0.3829787234042553,0.3827180506447979,9,821,8,21,859,0.6458333333333333,0.00798954142401839,0.6458333333333333,0.00798954142401839,0.9753636363636364,0.04664725366314057,0.3,0.0,0.9916666666666667,0.01597908284803674,0.7947666666666668,0.03707919990667163,0.8305243655141997,0.03634418119470857,0.4586651031894934,0.005490125185340409,0.40462681034601844,0.029433697251696606,9.0,0.0,29.75,0.4793724854411023,0.25,0.4793724854411023,21.0,0.0,60.0,0.0,0,3
all,0.9787990050929765,0.9674485478438394,0.8907056798623064,0.952161913523459,0.9827351821642197,0.9937277169054619,0.9770625636690601,0.9204090706980881,0.908868105930259,1035,7229,127,52,8443,0.9676954921803129,0.0017565594192533187,0.9676954921803129,0.0017565594192533326,0.9827041294168539,0.003563060568445146,0.952161913523459,0.0,0.9832290708371667,0.0035131188385066543,0.9938059393907592,0.0004728335283962032,0.9946847088158662,0.000647891243475765,0.96718881810558,0.0017257162638276995,0.9358488357646888,0.0036170731404802175,1035.0,0.0,1068.77,3.818760177456721,18.23,3.818760177456722,52.0,0.0,2174.0,0.0,0,3
non-annotated,0.9773516921889075,0.9324721866338963,0.742914979757085,0.8822115384615384,0.9827328348062543,0.9842236769858286,0.8959235169405636,0.8065934065934066,0.7979699183084606,367,7228,127,49,7771,0.9326923076923079,0.0026630370644567134,0.9326923076923079,0.0026630370644567364,0.981317543759149,0.00581798104680679,0.8822115384615382,2.2316322462394835e-16,0.983173076923077,0.005326074128913462,0.9843457320173818,0.001527104131388182,0.9863271042330385,0.002260410938413509,0.9291211617721012,0.0026067276786591624,0.8698447684695263,0.005828094289795019,367.0,0.0,409.0,2.215646837627989,7.0,2.215646837627989,49.0,0.0,832.0,0.0,0,3
