section,accuracy,balanced_accuracy,precision,recall,specificity,auc,aupr,f1,mcc,tp,tn,fp,fn,total,balanced_downsample_accuracy_mean,balanced_downsample_accuracy_std,balanced_downsample_balanced_accuracy_mean,balanced_downsample_balanced_accuracy_std,balanced_downsample_precision_mean,balanced_downsample_precision_std,balanced_downsample_recall_mean,balanced_downsample_recall_std,balanced_downsample_specificity_mean,balanced_downsample_specificity_std,balanced_downsample_auc_mean,balanced_downsample_auc_std,balanced_downsample_aupr_mean,balanced_downsample_aupr_std,balanced_downsample_f1_mean,balanced_downsample_f1_std,balanced_downsample_mcc_mean,balanced_downsample_mcc_std,balanced_downsample_tp_mean,balanced_downsample_tp_std,balanced_downsample_tn_mean,balanced_downsample_tn_std,balanced_downsample_fp_mean,balanced_downsample_fp_std,balanced_downsample_fn_mean,balanced_downsample_fn_std,balanced_downsample_total_mean,balanced_downsample_total_std,repeat,fold
5UTRnonATG,0.9882034422742216,0.8506990364632534,0.5957446808510638,0.7088607594936709,0.9925373134328358,0.9855966668986845,0.7137184890901668,0.6473988439306358,0.6439539373540855,56,5054,38,23,5171,0.850379746835443,0.004804133575747064,0.8503797468354432,0.004804133575747042,0.9888732556112666,0.013019494678249595,0.7088607594936711,2.2316322462394835e-16,0.991898734177215,0.009608267151494121,0.9845858035571221,0.004988590616857403,0.9850223144724324,0.00670017276175549,0.8257405331818828,0.004585827981993399,0.7307099245817227,0.012078720963767742,56.0,0.0,78.36,0.7590531049680359,0.64,0.7590531049680359,23.0,0.0,158.0,0.0,0,2
Annotated,0.9962756052141527,0.49906716417910446,0.9981343283582089,0.9981343283582089,0.0,0.9944029850746269,0.999989557783744,0.9981343283582089,-0.0018656716417910447,535,0,1,1,537,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666669,2.2316322462394835e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0,2
CDSATG,0.8427672955974843,0.8404339562876149,0.8064516129032258,0.9146341463414634,0.7662337662337663,0.9414000633512828,0.9489729834460346,0.8571428571428571,0.6905604700642789,75,59,18,7,159,0.8403896103896104,0.004042043482159627,0.8403896103896104,0.004042043482159627,0.7964162410623083,0.0014214755550633316,0.9145454545454542,0.008084086964319283,0.7662337662337662,1.1158161231197418e-16,0.9414167650531285,0.0030286493318727264,0.9463151495330041,0.0027457257236730157,0.8513925052414337,0.004303123341030191,0.6884270613376822,0.00906065445079596,70.42,0.6224746962525846,59.0,0.0,18.0,0.0,6.58,0.6224746962525847,154.0,0.0,0,2
CDSnonATG,0.9719101123595506,0.6528442317916002,0.46153846153846156,0.3157894736842105,0.98989898989899,0.7764866712235132,0.3518907257670411,0.375,0.36796982216096347,6,686,7,13,712,0.6505263157894737,0.014035087719298274,0.6505263157894737,0.014035087719298274,0.9614285714285715,0.07173096165266835,0.3157894736842105,0.0,0.985263157894737,0.0280701754385965,0.7735180055401663,0.03972134832989843,0.8228993570685827,0.03371711908688885,0.47488547008547,0.009670070741351719,0.40730203235818613,0.04833799097658188,6.0,0.0,18.72,0.5333333333333334,0.28,0.5333333333333333,13.0,0.0,38.0,0.0,0,2
all,0.9769285208775654,0.9621441095432912,0.8788853161843515,0.9425287356321839,0.9817594834543987,0.9943415620680377,0.9768716956116303,0.9095951192457016,0.8971102200839229,820,6082,113,50,7065,0.962373563218391,0.002274712177269152,0.9623735632183908,0.002274712177269145,0.9815052467653089,0.004641915267793958,0.9425287356321838,1.1158161231197418e-16,0.9822183908045977,0.0045494243545383065,0.994366785572731,0.0005676378785888926,0.9950375878721526,0.0005590517053423099,0.9616168781480703,0.002229783812767391,0.9254866884319347,0.004716653569418006,820.0,0.0,854.53,3.9579991884483223,15.47,3.957999188448322,50.0,0.0,1740.0,0.0,0,2
non-annotated,0.9753370098039216,0.9176056991602846,0.7178841309823678,0.8532934131736527,0.9819179851469164,0.985566000707658,0.8857474155263052,0.7797537619699042,0.7700064003682243,285,6082,112,49,6528,0.9183083832335329,0.0034653948652945007,0.9183083832335329,0.0034653948652944733,0.9808922996532274,0.00780037180545664,0.8532934131736529,2.2316322462394835e-16,0.9833233532934134,0.006930789730589012,0.9859527950087849,0.00215488578772006,0.9871151030846573,0.002370845180828279,0.912640288664076,0.003379611123393499,0.843808155637117,0.0077574389835817865,285.0,0.0,328.43,2.31488377001673,5.57,2.31488377001673,49.0,0.0,668.0,0.0,0,2
5UTRATG,0.8864265927977839,0.8877478970958432,0.8215962441314554,0.9831460674157303,0.7923497267759563,0.9722785043286056,0.9699113166827809,0.8951406649616368,0.7883050948115878,175,145,38,3,361,0.8875842696629215,0.002586834352799467,0.8875842696629215,0.002586834352799463,0.825409302617376,0.0035980886454329676,0.9831460674157302,1.1158161231197418e-16,0.7920224719101122,0.00517366870559891,0.9723046332533772,0.0010198430816292336,0.9707079473580567,0.0012590485058378488,0.8973948401993326,0.002123039410694694,0.7897331490390862,0.004466044982123649,175.0,0.0,140.98,0.9209130295966108,37.02,0.9209130295966107,3.0,0.0,356.0,0.0,0,3
5UTRnonATG,0.9896214896214897,0.828395130667858,0.6533333333333333,0.6621621621621622,0.9946280991735538,0.9839373464373464,0.6698165001166676,0.6577181208053692,0.6524643729598308,49,4814,26,25,4914,0.828581081081081,0.003919295452930681,0.828581081081081,0.0039192954529307334,0.9926387631975868,0.011452740724740626,0.6621621621621623,1.1158161231197418e-16,0.995,0.007838590905861408,0.9839225712198687,0.006686114328804118,0.983396748613571,0.008513771897087566,0.7943756901827084,0.003707332849546824,0.6969522427434376,0.010269329724341102,49.0,0.0,73.63,0.580055727033745,0.37,0.5800557270337449,25.0,0.0,148.0,0.0,0,3
Annotated,0.9962962962962963,0.6666666666666666,0.9962894248608535,1.0,0.3333333333333333,0.8634388578522657,0.9991504063381337,0.9981412639405205,0.5762781229177608,537,1,2,0,540,0.6666666666666669,2.2316322462394835e-16,0.6666666666666669,2.2316322462394835e-16,0.6,0.0,1.0,0.0,0.3333333333333334,1.1158161231197418e-16,0.8633333333333332,0.1677703820996545,0.9117777777777776,0.1159638388536961,0.75,0.0,0.4472135954999581,1.6737241846796128e-16,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0,3
CDSATG,0.8723404255319149,0.867288961038961,0.8554216867469879,0.922077922077922,0.8125,0.9624594155844155,0.9715885260549537,0.8875,0.7432247746312627,71,52,12,6,141,0.866640625,0.006957206943626113,0.866640625,0.006957206943626113,0.8307929219150517,0.0021077373372648677,0.92078125,0.013914413887252227,0.8125,0.0,0.9622314453125,0.005256488018598225,0.966601710062332,0.004386063225463018,0.8734415826976465,0.007403907135438083,0.7377146057409959,0.015188867268022677,58.93,0.8905224887841425,52.0,0.0,12.0,0.0,5.07,0.8905224887841425,128.0,0.0,0,3
